date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
23:43:25	30/30	---M--	200	added ('OK')	text/plain	etag:%221563289987%22	https://barthofu.me/robots.txt		(from )
23:43:25	8989/8989	---M-Z	200	added ('OK')	text/html	etag:%22231d-5c12bd6d377bf-gzip%22	https://barthofu.me/	C:/Mes%20Sites%20Web/Willy%20;)/barthofu.me/index.html	(from )
23:43:25	101072/101072	---M-Z	200	added ('OK')	text/css	etag:%2218ad0-5ba318d094a4f-gzip%22	https://barthofu.me/src/styles/main.css	C:/Mes%20Sites%20Web/Willy%20;)/barthofu.me/src/styles/main.css	(from https://barthofu.me/)
23:43:26	219/219	---M-Z	200	added ('OK')	text/css	etag:%22db-5ba318d094a4f-gzip%22	https://barthofu.me/src/styles/reset.css	C:/Mes%20Sites%20Web/Willy%20;)/barthofu.me/src/styles/reset.css	(from https://barthofu.me/)
23:43:26	3914/3914	---M-Z	200	added ('OK')	text/css	etag:%22f4a-5c12bd6d377bf-gzip%22	https://barthofu.me/src/styles/index.css	C:/Mes%20Sites%20Web/Willy%20;)/barthofu.me/src/styles/index.css	(from https://barthofu.me/)
23:43:26	1045/1045	---M-Z	200	added ('OK')	text/css	etag:%22415-5ba318d094a4f-gzip%22	https://barthofu.me/src/styles/containers/about.css	C:/Mes%20Sites%20Web/Willy%20;)/barthofu.me/src/styles/containers/about.css	(from https://barthofu.me/)
23:43:26	159/159	---M-Z	200	added ('OK')	text/css	etag:%229f-5ba318d094a4f-gzip%22	https://barthofu.me/src/styles/containers/projects.css	C:/Mes%20Sites%20Web/Willy%20;)/barthofu.me/src/styles/containers/projects.css	(from https://barthofu.me/)
23:43:27	1042/1042	---M-Z	200	added ('OK')	text/css	etag:%22412-5c12bd6d377bf-gzip%22	https://barthofu.me/src/styles/containers/contact.css	C:/Mes%20Sites%20Web/Willy%20;)/barthofu.me/src/styles/containers/contact.css	(from https://barthofu.me/)
23:43:27	5136/5136	---M-Z	200	added ('OK')	text/css	etag:%221410-5ba318d094a4f-gzip%22	https://barthofu.me/src/styles/containers/waifu.css	C:/Mes%20Sites%20Web/Willy%20;)/barthofu.me/src/styles/containers/waifu.css	(from https://barthofu.me/)
23:43:27	89476/89476	---M--	200	added ('OK')	text/javascript	date:Fri,%2008%20May%202020%2007:05:03%20GMT	https://ajax.googleapis.com/ajax/libs/jquery/3.5.1/jquery.min.js	C:/Mes%20Sites%20Web/Willy%20;)/ajax.googleapis.com/ajax/libs/jquery/3.5.1/jquery.min.js	(from https://barthofu.me/)
23:43:28	17314/17314	---M-Z	200	added ('OK')	application/javascript	etag:%225eb03f40-43a2%22	https://cdnjs.cloudflare.com/ajax/libs/parallax/3.1.0/parallax.min.js	C:/Mes%20Sites%20Web/Willy%20;)/cdnjs.cloudflare.com/ajax/libs/parallax/3.1.0/parallax.min.js	(from https://barthofu.me/)
23:43:28	653449/653449	---M-Z	200	added ('OK')	application/javascript	etag:%225fe46feb-9f889%22	https://cdnjs.cloudflare.com/ajax/libs/three.js/r124/three.min.js	C:/Mes%20Sites%20Web/Willy%20;)/cdnjs.cloudflare.com/ajax/libs/three.js/r124/three.min.js	(from https://barthofu.me/)
23:43:28	6069/6069	---M-Z	200	added ('OK')	application/javascript	etag:%2217b5-5c12bd6d377bf-gzip%22	https://barthofu.me/src/scripts/main.js	C:/Mes%20Sites%20Web/Willy%20;)/barthofu.me/src/scripts/main.js	(from https://barthofu.me/)
23:43:29	315328/315328	---M--	200	added ('OK')	image/jpeg	etag:%224cfc0-5ba318d093aaf%22	https://barthofu.me/src/assets/glitch.jpg	C:/Mes%20Sites%20Web/Willy%20;)/barthofu.me/src/assets/glitch.jpg	(from https://barthofu.me/)
23:43:29	52437/52437	---M--	200	added ('OK')	image/png	etag:%22ccd5-5ba318d093aaf%22	https://barthofu.me/src/assets/about.png	C:/Mes%20Sites%20Web/Willy%20;)/barthofu.me/src/assets/about.png	(from https://barthofu.me/)
23:43:30	153900/153900	---M--	200	added ('OK')	font/ttf	etag:%222592c-5ba318d093aaf%22	https://barthofu.me/src/assets/Poppins-Bold.ttf	C:/Mes%20Sites%20Web/Willy%20;)/barthofu.me/src/assets/Poppins-Bold.ttf	(from https://barthofu.me/src/styles/main.css)
23:43:30	161404/161404	---M--	200	added ('OK')	font/ttf	etag:%222767c-5ba318d093aaf%22	https://barthofu.me/src/assets/Poppins-ExtraLight.ttf	C:/Mes%20Sites%20Web/Willy%20;)/barthofu.me/src/assets/Poppins-ExtraLight.ttf	(from https://barthofu.me/src/styles/main.css)
